family,genus,species,nbr_country,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,host_order,host_fam,host_spp
Aphelinidae,Aphelinus,abdominalis,49,-34.9964962,-123.3831618,59.9393657,144.4588889,31.5051688602,32.0315601216,40.033265,24.991639,2,2,36
Aphelinidae,Aphelinus,acuminatus,1,25.5379432,91.2999102,25.5379432,91.2999102,25.5379432,91.2999102,25.5379432,91.2999102,0,0,0
Aphelinidae,Aphelinus,albipodus,17,-23.3165934,-118.7559973,47.3752671,139.2394179,28.2724004471,6.21220055294,34.9550817,42.056765,1,1,17
Aphelinidae,Aphelinus,ancer,2,14.5203896,75.7223521,25.5379432,91.2999102,20.0291664,83.51113115,20.0291664,83.51113115,1,1,1
Aphelinidae,Aphelinus,annulipes,10,45.0819456,-3.7389299,59.6749712,134.726645,50.22012989,24.9060706082,49.65194855,14.9979064,1,1,7
Aphelinidae,Aphelinus,argiope,9,14.5203896,-3.2765752,59.6749712,80.859666,43.0095282,35.7369161667,49.4871968,19.4528646,1,1,3
Aphelinidae,Aphelinus,asychis,51,-34.9964962,-118.7559973,63.2467777,144.4588889,30.8542332343,14.4609023777,36.5748441,19.5060937,2,2,55
Aphelinidae,Aphelinus,atriplicis,4,41.6809707,19.5060937,64.6863136,97.7453061,50.7590599,48.137992525,48.33447765,37.65028515,1,1,2
Aphelinidae,Aphelinus,aureus,1,36.7014631,-118.7559973,36.7014631,-118.7559973,36.7014631,-118.7559973,36.7014631,-118.7559973,1,1,2
Aphelinidae,Aphelinus,automatus,3,36.7014631,-118.7559973,40.0796319,-78.492772,37.9681065,-95.5609167,37.1232245,-89.4339808,1,1,3
Aphelinidae,Aphelinus,babaneuri,1,41.6809707,44.0287382,41.6809707,44.0287382,41.6809707,44.0287382,41.6809707,44.0287382,0,0,0
Aphelinidae,Aphelinus,basilicus,7,7.878,74.0855134,26.4073841,93.2551303,19.8039123571,84.5880268554,22.9964948,85.906508,0,0,0
Aphelinidae,Aphelinus,campestris,2,45.0819456,31.2718321,49.4871968,134.726645,47.2845712,82.99923855,47.2845712,82.99923855,0,0,0
Aphelinidae,Aphelinus,ceratovacunae,1,24.0,109.0,24.0,109.0,24.0,109.0,24.0,109.0,1,1,1
Aphelinidae,Aphelinus,certus,1,45.0819456,134.726645,45.0819456,134.726645,45.0819456,134.726645,45.0819456,134.726645,0,0,0
Aphelinidae,Aphelinus,chaonia,27,-31.7613364,-118.7559973,59.6749712,114.1628131,39.3097016278,12.8572151809,45.5643442,17.0118954,1,1,17
Aphelinidae,Aphelinus,circumscriptus,1,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,0,0,0
Aphelinidae,Aphelinus,confusus,3,42.6384261,12.674297,49.8167003,19.4528646,47.0654262,15.867372,48.7411522,15.4749544,1,1,3
Aphelinidae,Aphelinus,coracinus,1,49.4871968,31.2718321,49.4871968,31.2718321,49.4871968,31.2718321,49.4871968,31.2718321,0,0,0
Aphelinidae,Aphelinus,coreae,1,37.5540282,126.7893535,37.5540282,126.7893535,37.5540282,126.7893535,37.5540282,126.7893535,1,1,4
