family,genus,species
Aphelinidae,Aphelinus,abdominalis
Aphelinidae,Aphytis,albus
Aphelinidae,Aphytis,antennalis
Aphelinidae,Paraphytis,argenticorpus
Aphelinidae,Paraphytis,australiensis
Aphelinidae,Aphytis,bedfordi
Aphelinidae,Paraphytis,ciliatus
Aphelinidae,Paraphytis,dealbatus
Aphelinidae,Aphytis,diaspidis
Aphelinidae,Aphytis,hispanicus
Aphelinidae,Aphytis,maculicornis
Aphelinidae,Paraphytis,maculatus
Aphelinidae,Paraphytis,mandalayensis
Aphelinidae,Aphytis,mytilaspidis
Aphelinidae,Paraphytis,nigripes
Aphelinidae,Aphytis,neuter
Aphelinidae,Paraphytis,noumeaensis
Aphelinidae,Aphytis,proclia
Aphelinidae,Aphytis,riyadhi
Aphelinidae,Aphytis,stepanovi
Aphelinidae,Encarsia,meritoria
Aphelinidae,Encarsia,pergandiella
Aphelinidae,Encarsia,perniciosi
Aphelinidae,Eretmocerus,mundus
Encyrtidae,Anagyrus,diversicornis
Encyrtidae,Arrhenophagus,chionaspidis
Encyrtidae,Comperiella,bifasciata
Encyrtidae,Ixidophagus,texanus
Encyrtidae,Protyndarichoides,cinctiventris
Eulophidae,Baryscapus,nigroviolaceus
Eulophidae,Ceranisus,menes
Eulophidae,Neochrysocharis,formosus
Eulophidae,Leptocybe,invasa
Eulophidae,Pnigalio,soemius
Eulophidae,Tetrastichus,coeruleus
Eupelmidae,Eupelmus,vesicularis
Eurytomidae,Bephratelloides,cubensis
Leucospidae,Leucospis,gigas
Mymaridae,Anagrus,delicatus
Mymaridae,Anagrus,optabilis
Mymaridae,Anagrus,perforator
Mymaridae,Anagrus,sophiae
Pteromalidae,Muscidifurax,raptor
Pteromalidae,Pteromalus,puparum
Pteromalidae,Trichilogaster,acaciaelongifoliae
Torymidae,Megastigmus,wachtli
Trichogrammatidae,Trichogramma,brassicae
Trichogrammatidae,Trichogramma,brevicapillum
Trichogrammatidae,Trichogramma,chilonis
Trichogrammatidae,Trichogramma,deion
Trichogrammatidae,Trichogramma,embryophagum
Trichogrammatidae,Trichogramma,evanescens
Trichogrammatidae,Trichogramma,kaykai
Trichogrammatidae,Trichogramma,minutum
Trichogrammatidae,Trichogramma,platneri
Trichogrammatidae,Trichogramma,pretiosum
Trichogrammatidae,Trichogramma,semifumatum
