"family","genus","species","reproduction","min_length","max_length","Nearctic","Neotropical","W.Palearctic","Ethiopian","E.Palearctic","Oriental","Australasian","lat_min","lon_min","lat_max","lon_max","number_loc","nbr_host_spp","Aphididae","Aleyrodidae","Coccoidea","Other.Hemiptera","Diptera","Lepidoptera","Coleoptera","Hymenoptera","Thysanoptera","Neuroptera","Megaloptera","Angiosperms","Pinaceae","Cupressaceae","relation_group","min_dev","max_dev"
"Aphelinidae","Aphelinus","abdominalis","both",3,3,0,1,1,1,1,1,1,-38,-83,60,143,52,37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,19
"Aphelinidae","Aphelinus","albipodus","sex",1.025,1.025,1,1,0,1,1,1,0,-23,-119,47,138,17,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,23
"Aphelinidae","Aphelinus","asychis","asex",1.782,1.782,1,1,1,1,1,1,1,-38,-119,62,143,63,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,13
"Aphelinidae","Aphelinus","certus","sex",1.29,1.29,0,0,0,0,1,0,0,36,-95,62,138,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,13
"Aphelinidae","Aphelinus","chaonia","sex",0.5,7,1,1,1,0,1,1,0,-36,-119,60,114,28,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"Aphelinidae","Aphelinus","glycinis","sex",0.77,0.93,0,0,0,0,1,0,0,42,123,42,123,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
"Aphelinidae","Aphelinus","gossypii","sex",0.8,1.3,1,1,1,1,1,1,1,-41,-175,48,175,18,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17
"Aphelinidae","Aphelinus","mali","sex",1.266,1.266,1,1,1,1,1,1,1,-41,-128,62,175,105,36,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15,15
"Aphelinidae","Aphelinus","paramali","sex",0.8,1.6,0,0,1,1,0,0,0,-11,18,32,54,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Aphelinidae","Aphelinus","rhamni","sex",0.75,0.94,0,0,0,0,1,0,0,40,116,40,116,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Aphelinidae","Aphelinus","semiflavus","asex",1.08,1.08,1,1,1,0,1,1,0,-38,-156,54,79,24,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,21
"Aphelinidae","Aphelinus","varipes","sex",1.082,1.082,1,1,1,1,1,1,1,-36,-119,60,149,45,23,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,10,18
"Aphelinidae","Aphytis","acrenulatus","sex",0.86,1.25,0,0,1,1,0,0,0,-20,13,42,58,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","africanus","sex",0.61,0.89,1,1,1,1,0,0,0,-38,-119,37,36,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,13
"Aphelinidae","Aphytis","amazonensis","sex",0.7,0.7,0,1,0,0,0,0,0,2,-51,2,-51,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA
"Aphelinidae","Aphytis","anneckei","sex",1.09,1.45,0,0,0,1,0,0,0,-31,23,0,38,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA
"Aphelinidae","Aphytis","antennalis","asex",1.4,1.4,0,0,0,0,0,1,0,22,114,22,114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"Aphelinidae","Aphytis","aonidiae","asex",0.6,0.63,1,1,1,0,1,0,0,-38,-119,52,138,25,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","capensis","sex",1.22,1.3,0,0,0,1,0,0,0,-31,23,-31,23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
"Aphelinidae","Aphytis","cercinus","sex",0.93,1.22,0,0,0,1,0,0,0,-31,18,-23,23,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA
"Aphelinidae","Aphytis","chilensis","asex",0.5,1.08,1,1,1,1,1,1,1,-41,-119,51,175,20,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,17,21
"Aphelinidae","Aphytis","chrysomphali","asex",0.55,0.99,1,1,1,1,1,1,1,-38,-156,51,178,76,63,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,14,14
"Aphelinidae","Aphytis","coheni","sex",0.86,1.11,1,0,1,1,0,0,0,-31,-119,39,35,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,NA,NA
