family,genus,species,num_orders,num_fam,num_spp
Aphelinidae,Aphelinus,abdominalis,2,2,36
Aphelinidae,Aphelinus,acuminatus,0,0,0
Aphelinidae,Aphelinus,albipodus,1,1,17
Aphelinidae,Aphelinus,ancer,1,1,1
Aphelinidae,Aphelinus,annulipes,1,1,7
Aphelinidae,Aphelinus,argiope,1,1,3
Aphelinidae,Aphelinus,asychis,2,2,55
Aphelinidae,Aphelinus,atriplicis,1,1,2
Aphelinidae,Aphelinus,aureus,1,1,2
Aphelinidae,Aphelinus,automatus,1,1,3
Aphelinidae,Aphelinus,babaneuri,0,0,0
Aphelinidae,Aphelinus,basilicus,0,0,0
Aphelinidae,Aphelinus,campestris,0,0,0
Aphelinidae,Aphelinus,ceratovacunae,1,1,1
Aphelinidae,Aphelinus,certus,0,0,0
Aphelinidae,Aphelinus,chaonia,1,1,17
Aphelinidae,Aphelinus,circumscriptus,0,0,0
Aphelinidae,Aphelinus,confusus,1,1,3
Aphelinidae,Aphelinus,coracinus,0,0,0
Aphelinidae,Aphelinus,coreae,1,1,4
Aphelinidae,Aphelinus,curvifasciatus,0,0,0
Aphelinidae,Aphelinus,daqingensis,1,1,1
Aphelinidae,Aphelinus,daucicola,1,1,13
Aphelinidae,Aphelinus,demyaati,1,1,1
Aphelinidae,Aphelinus,desantisi,1,1,2
Aphelinidae,Aphelinus,dies,0,0,0
Aphelinidae,Aphelinus,elvestueni,0,0,0
Aphelinidae,Aphelinus,engaeus,1,1,2
Aphelinidae,Aphelinus,ficusae,0,0,0
Aphelinidae,Aphelinus,flaviventris,1,1,4
Aphelinidae,Aphelinus,flavus,1,1,6
Aphelinidae,Aphelinus,fulvus,1,1,2
Aphelinidae,Aphelinus,fusciscapus,0,0,0
Aphelinidae,Aphelinus,fuscus,1,1,1
Aphelinidae,Aphelinus,gillettei,1,1,1
Aphelinidae,Aphelinus,glycinis,1,1,2
Aphelinidae,Aphelinus,gossypii,1,2,20
Aphelinidae,Aphelinus,hongkongensis,0,0,0
Aphelinidae,Aphelinus,hordei,1,1,4
Aphelinidae,Aphelinus,howardii,1,1,2
Aphelinidae,Aphelinus,huberi,0,0,0
Aphelinidae,Aphelinus,humilis,1,1,6
Aphelinidae,Aphelinus,hyalopteraphidis,1,1,1
Aphelinidae,Aphelinus,japonicus,0,0,0
Aphelinidae,Aphelinus,jucundus,1,1,9
Aphelinidae,Aphelinus,kurdjumovi,1,1,2
Aphelinidae,Aphelinus,lankaensis,0,0,0
Aphelinidae,Aphelinus,lapisligni,1,1,4
Aphelinidae,Aphelinus,literatus,1,1,1
Aphelinidae,Aphelinus,longipennis,0,0,0
Aphelinidae,Aphelinus,lucidus,1,1,2
Aphelinidae,Aphelinus,lusitanicus,0,0,0
Aphelinidae,Aphelinus,maculatus,1,1,2
Aphelinidae,Aphelinus,maidis,1,1,3
Aphelinidae,Aphelinus,mali,2,5,35
Aphelinidae,Aphelinus,mariscusae,1,1,1
Aphelinidae,Aphelinus,marlatti,1,1,2
Aphelinidae,Aphelinus,megadontus,1,1,1
Aphelinidae,Aphelinus,meghalayanus,0,0,0
Aphelinidae,Aphelinus,meridionalis,1,1,4
Aphelinidae,Aphelinus,minutus,0,0,0
Aphelinidae,Aphelinus,nepalensis,0,0,0
Aphelinidae,Aphelinus,niger,0,0,0
Aphelinidae,Aphelinus,notatus,0,0,0
Aphelinidae,Aphelinus,nox,0,0,0
Aphelinidae,Aphelinus,odin,0,0,0
Aphelinidae,Aphelinus,paluscolus,0,0,0
Aphelinidae,Aphelinus,paoliellae,1,1,1
Aphelinidae,Aphelinus,paramali,1,1,3
Aphelinidae,Aphelinus,pax,0,0,0
Aphelinidae,Aphelinus,perpallidus,1,1,7
Aphelinidae,Aphelinus,polaszeki,1,1,1
Aphelinidae,Aphelinus,prociphili,1,1,1
Aphelinidae,Aphelinus,quercus,0,0,0
Aphelinidae,Aphelinus,rhamni,1,1,4
Aphelinidae,Aphelinus,rhopalosiphiphagus,1,1,1
Aphelinidae,Aphelinus,sanborniae,1,1,3
Aphelinidae,Aphelinus,semiflavus,2,2,41
Aphelinidae,Aphelinus,sharpae,0,0,0
Aphelinidae,Aphelinus,siphonophorae,2,2,8
Aphelinidae,Aphelinus,spiraecolae,1,1,3
Aphelinidae,Aphelinus,subauriceps,0,0,0
Aphelinidae,Aphelinus,subflavescens,1,1,16
Aphelinidae,Aphelinus,takecallis,1,1,1
Aphelinidae,Aphelinus,taurus,0,0,0
Aphelinidae,Aphelinus,tetrataenion,0,0,0
Aphelinidae,Aphelinus,thomsoni,1,1,3
Aphelinidae,Aphelinus,tiliaphidis,1,1,1
Aphelinidae,Aphelinus,uncinctiventris,0,0,0
Aphelinidae,Aphelinus,varipes,2,3,21
Aphelinidae,Aphelinus,wenshanus,1,1,1
Aphelinidae,Aphelinus,yasnoshae,0,0,0
Aphelinidae,Aphytis,aberrans,1,1,1
Aphelinidae,Aphytis,abnormis,1,2,10
Aphelinidae,Aphytis,acalcaratus,1,1,1
Aphelinidae,Aphytis,acrenulatus,1,1,2
Aphelinidae,Aphytis,africanus,1,1,9
Aphelinidae,Aphytis,alami,1,1,2
Aphelinidae,Aphytis,albus,1,1,1
Aphelinidae,Aphytis,alexandrina,1,1,1
Aphelinidae,Aphytis,aligarhensis,0,0,0
Aphelinidae,Aphytis,amazonensis,0,0,0
Aphelinidae,Aphytis,angeloni,0,0,0
Aphelinidae,Aphytis,anneckei,1,1,2
Aphelinidae,Aphytis,antennalis,0,0,0
Aphelinidae,Aphytis,aonidiae,1,3,31
Aphelinidae,Aphytis,azai,0,0,0
Aphelinidae,Aphytis,bangalorensis,1,1,1
Aphelinidae,Aphytis,bedfordi,0,0,0
Aphelinidae,Aphytis,capensis,1,1,1
Aphelinidae,Aphytis,caucasicus,1,1,1
Aphelinidae,Aphytis,cercinus,1,1,4
Aphelinidae,Aphytis,chilensis,1,2,31
Aphelinidae,Aphytis,chionaspis,1,1,2
Aphelinidae,Aphytis,chrysomphali,2,3,63
Aphelinidae,Aphytis,coheni,1,1,6
Aphelinidae,Aphytis,columbi,1,2,5
Aphelinidae,Aphytis,comperei,1,1,9
Aphelinidae,Aphytis,confusus,1,1,3
Aphelinidae,Aphytis,cornuaspis,1,1,1
Aphelinidae,Aphytis,cylindratus,1,2,5
Aphelinidae,Aphytis,debachi,1,1,3
Aphelinidae,Aphytis,desantisi,1,1,1
Aphelinidae,Aphytis,diaspidis,1,3,63
Aphelinidae,Aphytis,elongatus,0,0,0
Aphelinidae,Aphytis,equatorialis,1,1,1
Aphelinidae,Aphytis,erythraeus,1,1,2
Aphelinidae,Aphytis,faurei,0,0,0
Aphelinidae,Aphytis,fioriniae,1,1,1
Aphelinidae,Aphytis,fisheri,1,1,4
Aphelinidae,Aphytis,funicularis,1,1,7
Aphelinidae,Aphytis,gordoni,1,1,3
Aphelinidae,Aphytis,griseus,1,1,4
Aphelinidae,Aphytis,hispanicus,1,2,27
Aphelinidae,Aphytis,holoxanthus,1,1,12
Aphelinidae,Aphytis,huidongensis,1,1,1
Aphelinidae,Aphytis,ignotus,1,1,1
Aphelinidae,Aphytis,immaculatus,1,1,5
Aphelinidae,Aphytis,japonicus,1,1,2
Aphelinidae,Aphytis,keatsi,0,0,0
Aphelinidae,Aphytis,landii,1,1,1
Aphelinidae,Aphytis,lepidosaphes,1,1,8
Aphelinidae,Aphytis,liangi,0,0,0
Aphelinidae,Aphytis,libanicus,1,1,6
Aphelinidae,Aphytis,limonus,0,0,0
Aphelinidae,Aphytis,lindingaspis,1,1,2
Aphelinidae,Aphytis,lingnanensis,1,1,40
Aphelinidae,Aphytis,longicaudus,1,1,2
Aphelinidae,Aphytis,luteus,1,1,4
Aphelinidae,Aphytis,maculatipes,0,0,0
Aphelinidae,Aphytis,maculicornis,1,1,21
Aphelinidae,Aphytis,manii,1,1,1
Aphelinidae,Aphytis,margaretae,1,1,6
Aphelinidae,Aphytis,mashae,0,0,0
Aphelinidae,Aphytis,matruhi,1,1,1
Aphelinidae,Aphytis,mazalae,1,1,10
Aphelinidae,Aphytis,melinus,1,1,24
Aphelinidae,Aphytis,merceti,1,2,9
Aphelinidae,Aphytis,mimosae,1,2,2
Aphelinidae,Aphytis,minutissimus,1,1,1
Aphelinidae,Aphytis,miquihuana,1,1,1
Aphelinidae,Aphytis,moldavicus,1,1,4
Aphelinidae,Aphytis,mytilaspidis,1,3,88
Aphelinidae,Aphytis,neuter,1,1,1
Aphelinidae,Aphytis,newtoni,0,0,0
Aphelinidae,Aphytis,notialis,1,1,4
Aphelinidae,Aphytis,opuntiae,1,1,2
Aphelinidae,Aphytis,paramaculicornis,1,1,11
Aphelinidae,Aphytis,perissoptroides,0,0,0
Aphelinidae,Aphytis,philippinensis,1,1,7
Aphelinidae,Aphytis,phoenicis,1,1,1
Aphelinidae,Aphytis,pilosus,1,2,3
Aphelinidae,Aphytis,pinnaspidis,1,1,5
Aphelinidae,Aphytis,proclia,2,5,70
Aphelinidae,Aphytis,punctaticorpus,0,0,0
Aphelinidae,Aphytis,quadraspidioti,1,1,1
Aphelinidae,Aphytis,riyadhi,1,1,3
Aphelinidae,Aphytis,rolaspidis,1,1,1
Aphelinidae,Aphytis,roseni,1,1,1
Aphelinidae,Aphytis,ruskini,0,0,0
Aphelinidae,Aphytis,salvadorensis,0,0,0
Aphelinidae,Aphytis,sankarani,1,1,3
Aphelinidae,Aphytis,secundus,0,0,0
Aphelinidae,Aphytis,sensorius,1,1,1
Aphelinidae,Aphytis,setosus,1,1,1
Aphelinidae,Aphytis,simmondsiae,1,1,1
Aphelinidae,Aphytis,simplex,1,1,1
Aphelinidae,Aphytis,sinaii,1,1,1
Aphelinidae,Aphytis,stepanovi,1,1,1
Aphelinidae,Aphytis,taylori,1,1,1
Aphelinidae,Aphytis,testaceus,1,1,7
Aphelinidae,Aphytis,theae,1,1,2
Aphelinidae,Aphytis,tucumani,1,1,1
Aphelinidae,Aphytis,ulianovi,0,0,0
Aphelinidae,Aphytis,unaspidis,1,1,1
Aphelinidae,Aphytis,unicus,0,0,0
Aphelinidae,Aphytis,vandenboschi,1,1,12
Aphelinidae,Aphytis,vastus,0,0,0
Aphelinidae,Aphytis,wandoorensis,0,0,0
Aphelinidae,Aphytis,yanonensis,1,1,3
Aphelinidae,Aphytis,yasumatsui,1,2,5
Aphelinidae,Coccophagus,ablusus,1,1,1
Aphelinidae,Coccophagus,acanthosceles,1,1,2
Aphelinidae,Coccophagus,adumbratus,1,1,2
Aphelinidae,Coccophagus,adustus,1,1,9
Aphelinidae,Coccophagus,aethiopis,0,0,0
Aphelinidae,Coccophagus,aethochreus,1,1,2
Aphelinidae,Coccophagus,afrangiatus,0,0,0
Aphelinidae,Coccophagus,africanus,0,0,0
Aphelinidae,Coccophagus,albiapicella,0,0,0
Aphelinidae,Coccophagus,albicoxa,1,1,3
Aphelinidae,Coccophagus,albifuniculatus,0,0,0
Aphelinidae,Coccophagus,amblydon,1,1,1
Aphelinidae,Coccophagus,amoenus,0,0,0
Aphelinidae,Coccophagus,anchoroides,0,0,0
Aphelinidae,Coccophagus,angolensis,1,1,1
Aphelinidae,Coccophagus,anthracinus,1,1,6
Aphelinidae,Coccophagus,apricus,1,1,1
Aphelinidae,Coccophagus,argenteus,0,0,0
Aphelinidae,Coccophagus,argentifascia,0,0,0
Aphelinidae,Coccophagus,argentiscutellum,0,0,0
Aphelinidae,Coccophagus,argocoxa,1,1,1
Aphelinidae,Coccophagus,assamensis,0,0,0
Aphelinidae,Coccophagus,asterolecanii,1,1,1
Aphelinidae,Coccophagus,atratus,2,3,12
Aphelinidae,Coccophagus,aurantifrons,0,0,0
Aphelinidae,Coccophagus,aureonotus,0,0,0
Aphelinidae,Coccophagus,auricaput,0,0,0
Aphelinidae,Coccophagus,avetianae,1,1,3
Aphelinidae,Coccophagus,baldassarii,1,1,3
Aphelinidae,Coccophagus,bartletti,1,1,4
Aphelinidae,Coccophagus,basalis,1,1,6
Aphelinidae,Coccophagus,berzeliae,1,1,2
Aphelinidae,Coccophagus,biguttatus,0,0,0
