"family","genus","species","citations"
"Aphelinidae","Aphelinus","abdominalis",22
"Aphelinidae","Aphelinus","semiflavus",5
"Aphelinidae","Aphytis","diaspidis",29
"Aphelinidae","Aphytis","hispanicus",12
"Aphelinidae","Aphytis","maculicornis",6
"Aphelinidae","Aphytis","mytilaspidis",24
"Aphelinidae","Aphytis","proclia",12
"Aphelinidae","Encarsia","meritoria",3
"Aphelinidae","Encarsia","pergandiella",15
"Aphelinidae","Encarsia","perniciosi",15
"Aphelinidae","Eretmocerus","mundus",9
"Encyrtidae","Anagyrus","diversicornis",8
"Encyrtidae","Arrhenophagus","chionaspidis",14
"Encyrtidae","Comperiella","bifasciata",14
"Encyrtidae","Protyndarichoides","cinctiventris",3
"Eulophidae","Baryscapus","nigroviolaceus",16
"Eulophidae","Ceranisus","menes",20
"Eulophidae","Neochrysocharis","formosus",54
"Eulophidae","Pnigalio","soemius",21
"Eulophidae","Tetrastichus","coeruleus",12
"Eupelmidae","Eupelmus","vesicularis",4
"Eurytomidae","Bephratelloides","cubensis",5
"Leucospidae","Leucospis","gigas",3
"Mymaridae","Anagrus","atomus",58
"Mymaridae","Anagrus","delicatus",2
"Mymaridae","Anagrus","optabilis",22
"Mymaridae","Anagrus","perforator",6
"Mymaridae","Anagrus","sophiae",1
"Pteromalidae","Muscidifurax","raptor",13
"Pteromalidae","Pteromalus","puparum",2
"Pteromalidae","Trichilogaster","acaciaelongifoliae",10
"Torymidae","Megastigmus","wachtli",5
"Trichogrammatidae","Trichogramma","brassicae",26
"Trichogrammatidae","Trichogramma","brevicapillum",4
"Trichogrammatidae","Trichogramma","chilonis",7
"Trichogrammatidae","Trichogramma","deion",5
"Trichogrammatidae","Trichogramma","dendrolimi",18
"Trichogrammatidae","Trichogramma","embryophagum",10
"Trichogrammatidae","Trichogramma","evanescens",18
"Trichogrammatidae","Trichogramma","kaykai",2
"Trichogrammatidae","Trichogramma","minutum",60
"Trichogrammatidae","Trichogramma","pintoi",0
"Trichogrammatidae","Trichogramma","platneri",6
"Trichogrammatidae","Trichogramma","pretiosum",29
"Trichogrammatidae","Trichogramma","semifumatum",5
