genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Allomymar,taitae,1,1.5333554,32.2166578,1.5333554,32.2166578
Aphelinus,abdominalis,49,-34.9964962,-123.3831618,59.9393657,144.4588889
Aphelinus,acuminatus,1,25.5379432,91.2999102,25.5379432,91.2999102
Aphelinus,albipodus,17,-23.3165934,-118.7559973,47.3752671,139.2394179
Aphelinus,ancer,2,14.5203896,75.7223521,25.5379432,91.2999102
Aphelinus,annulipes,10,45.0819456,-3.7389299,59.6749712,134.726645
Aphelinus,argiope,9,14.5203896,-3.2765752,59.6749712,80.859666
Aphelinus,asychis,51,-34.9964962,-118.7559973,63.2467777,144.4588889
Aphelinus,atriplicis,4,41.6809707,19.5060937,64.6863136,97.7453061
Aphelinus,aureus,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Aphelinus,automatus,3,36.7014631,-118.7559973,40.0796319,-78.492772
Aphelinus,babaneuri,1,41.6809707,44.0287382,41.6809707,44.0287382
Aphelinus,basilicus,7,7.878,74.0855134,26.4073841,93.2551303
Aphelinus,campestris,2,45.0819456,31.2718321,49.4871968,134.726645
Aphelinus,ceratovacunae,1,24.0,109.0,24.0,109.0
Aphelinus,certus,1,45.0819456,134.726645,45.0819456,134.726645
Aphelinus,chaonia,27,-31.7613364,-118.7559973,59.6749712,114.1628131
Aphelinus,circumscriptus,1,51.0834196,10.4234469,51.0834196,10.4234469
Aphelinus,confusus,3,42.6384261,12.674297,49.8167003,19.4528646
Aphelinus,coracinus,1,49.4871968,31.2718321,49.4871968,31.2718321
Aphelinus,coreae,1,37.5540282,126.7893535,37.5540282,126.7893535
Aphelinus,curvifasciatus,1,26.5450001,117.842778,26.5450001,117.842778
Aphelinus,daqingensis,1,48.0000047,127.999992,48.0000047,127.999992
Aphelinus,daucicola,14,40.033265,-7.8896262,59.6749712,71.4388595155
Aphelinus,demyaati,1,26.2540493,29.2675469,26.2540493,29.2675469
Aphelinus,desantisi,5,14.5203896,73.7684549,30.9293211,94.5884911
Aphelinus,dies,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphelinus,elvestueni,1,64.574131,11.5270102892,64.574131,11.5270102892
Aphelinus,engaeus,2,-28.8166235,17.5691241,-11.8775767,24.991639
Aphelinus,ficusae,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphelinus,flaviventris,14,27.7567667,-81.4639834,59.6749712,71.4388595155
Aphelinus,flavus,7,-42.0350669,-4.1140517,56.7861112,146.6366887
Aphelinus,fulvus,5,40.3936294,-3.2765752,54.7023545,127.999992
Aphelinus,fusciscapus,4,40.3936294,10.4234469,51.0834196,47.7872508
Aphelinus,fuscus,2,47.286747,28.5110236,49.4871968,31.2718321
Aphelinus,gillettei,2,38.7251776,-105.6077166,40.0796319,-89.4339808
Aphelinus,glycinis,1,40.9975197,122.9955469,40.9975197,122.9955469
Aphelinus,gossypii,18,-41.500083,-175.2026423,49.4871968,172.8344077
Aphelinus,hongkongensis,1,22.2793278,114.1628131,22.2793278,114.1628131
Aphelinus,hordei,6,-35.4021015,-100.4458824,64.6863136,148.9464218
Aphelinus,howardii,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Aphelinus,huberi,1,28.1082107,84.0917515,28.1082107,84.0917515
Aphelinus,humilis,16,-34.9964962,-71.3187696,59.6749712,87.6855882
