genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Trichogramma,acacioi,4,-24.4842186,-51.8148871,-18.5264843,-40.172199
Trichogramma,acantholydae,1,42.6384261,12.674297,42.6384261,12.674297
Trichogramma,achaeae,17,-34.9964962,-157.9752029,64.6863136,165.4880773
Trichogramma,acuminatum,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,acutovirilia,5,27.7567667,-89.7348496,54.0,-71.9999999
Trichogramma,adashkevitshi,1,41.32373,63.9528098,41.32373,63.9528098
Trichogramma,agriae,2,10.8677845,-60.9821066,14.5203896,75.7223521
Trichogramma,agrotidis,5,-34.9964962,-64.9672816,64.6863136,97.7453061
Trichogramma,aldanense,1,66.941626,129.642371,66.941626,129.642371
Trichogramma,alloeovirilia,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,alpha,9,36.7014631,-118.7559973,55.0000001,-63.4594099
Trichogramma,aomoriense,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,arcanum,4,37.1232245,-86.0,59.6749712,14.5208584
Trichogramma,artonae,1,27.9995878,112.009538,27.9995878,112.009538
Trichogramma,atopovirilia,12,-24.4842186,-99.5120985,31.8160381,-38.3087922
Trichogramma,atropos,2,-27.0628366,-66.1109317,8.0018709,-51.1149649
Trichogramma,aurosum,18,34.395342,-149.6809089,64.4459613,158.7054275
Trichogramma,australicum,37,-33.5991294,-157.9752029,36.5748441,150.8346571
Trichogramma,bactrianum,1,38.6281733,70.8156541,38.6281733,70.8156541
Trichogramma,ballmeri,4,36.7014631,-120.7372569,55.0,-77.0366455
Trichogramma,bellaunionense,1,-32.8755547,-56.0201524,-32.8755547,-56.0201524
Trichogramma,bennetti,5,-10.3333332,-73.7845142,10.8677845,-53.1999999
Trichogramma,bertii,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,bezdencovii,6,-31.7613364,-71.3187696,53.4250605,44.6736646
Trichogramma,bilingense,1,23.1357694,113.1982688,23.1357694,113.1982688
Trichogramma,bispinosum,2,27.7567667,-89.4339808,40.0796319,-81.4639834
Trichogramma,bistrae,1,42.6073975,25.4856617,42.6073975,25.4856617
Trichogramma,bourarachae,3,31.1728192,-7.8896262,40.033265,9.400138
Trichogramma,bournieri,3,-28.8166235,24.991639,1.4419683,44.2832964
Trichogramma,brassicae,24,-34.9964962,-118.7559973,64.6863136,147.2869493
Trichogramma,brevicapillum,10,33.0000866,-118.7559973,47.3752671,64.9998468
Trichogramma,breviciliata,1,23.8143419,77.5340719,23.8143419,77.5340719
Trichogramma,brevifringiata,1,27.1303344,80.859666,27.1303344,80.859666
Trichogramma,browningi,2,19.4325301,-118.7559973,36.7014631,-99.1332101
Trichogramma,bruni,11,-34.9964962,-99.1332101,19.4325301,-40.172199
Trichogramma,buluti,1,38.9597594,34.9249653,38.9597594,34.9249653
Trichogramma,cacaeciae,39,-34.9964962,-118.7559973,58.7523778,158.7054275
Trichogramma,californicum,6,14.5203896,-120.7372569,43.9792797,75.7223521
Trichogramma,canadense,2,50.0000002,-86.0,54.0,-71.9999999
Trichogramma,canariense,1,28.5306525,-15.7464438,28.5306525,-15.7464438
Trichogramma,carina,1,46.603354,1.8883335,46.603354,1.8883335
Trichogramma,carverae,4,-36.5986095,121.0187246,-25.2303004,147.2869493
Trichogramma,castrense,1,8.0018709,-66.1109317,8.0018709,-66.1109317
Trichogramma,cephalciae,4,42.6384261,10.4234469,52.0977181,19.0258159
Trichogramma,chilonis,63,-33.5991294,-157.9752029,51.0834196,165.4880773
Trichogramma,chilotraeae,17,-33.5991294,-78.0000546,47.2037987,150.8346571
Trichogramma,choui,1,23.9739374,120.9820179,23.9739374,120.9820179
Trichogramma,chusniddini,1,41.32373,63.9528098,41.32373,63.9528098
Trichogramma,closterae,6,29.0000001,112.0,40.9975197,122.9955469
Trichogramma,clotho,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Trichogramma,colombiense,2,2.893108,-73.7845142,8.0018709,-66.1109317
Trichogramma,convolvuli,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,cordubense,5,32.75175465,-25.4730851865,40.033265,52.9471344
Trichogramma,cultellus,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,cuttackense,1,20.5431241,84.6897321,20.5431241,84.6897321
Trichogramma,danaidiphagum,2,10.9094334,75.7223521,14.5203896,78.3665347
Trichogramma,danausicida,3,10.9094334,75.7223521,27.1303344,80.859666
Trichogramma,danubiense,2,48.7411522,-0.540240236617,52.7954791,19.4528646
Trichogramma,deion,16,21.2160437,-157.9752029,55.0,-77.0366455
Trichogramma,demoraesi,2,-21.9549805,-49.0232347,-18.5264843,-44.1588653
Trichogramma,dendrolimi,46,-31.7613364,-75.9300731239,58.6124279,143.448533
Trichogramma,dianae,6,27.7567667,-92.5617874,41.6809707,44.0287382
Trichogramma,diazi,1,8.0018709,-66.1109317,8.0018709,-66.1109317
Trichogramma,dissimile,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,distinctum,2,-32.8755547,-56.0201524,-8.4127482,-38.3087922
Trichogramma,drepanophorum,4,27.7567667,-89.7348496,41.6809707,44.0287382
Trichogramma,elegantum,1,39.3763807,59.3924609,39.3763807,59.3924609
Trichogramma,embryophagum,39,-31.7613364,-100.4458824,64.574131,128.437295
Trichogramma,erebus,6,2.893108,-99.1332101,27.7567667,-73.7845142
Trichogramma,erosicorne,1,7.878,80.7038245875,7.878,80.7038245875
Trichogramma,esalqueanum,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,ethiopicum,2,2.0000003,13.1535811,4.6125522,15.9999997
Trichogramma,euproctidis,26,-34.9964962,-89.4339808,54.7066422,139.2394179
Trichogramma,evanescens,68,-31.7613364,-118.7559973,59.6749712,158.7054275
Trichogramma,exiguum,43,-34.9964962,-99.5873815,54.0,77.1828462
Trichogramma,falx,1,-41.500083,172.8344077,-41.500083,172.8344077
Trichogramma,fasciatum,27,-34.9964962,-124.9999999,64.6863136,139.2394179
Trichogramma,flandersi,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,flavum,2,27.7567667,-81.4639834,39.0000001,116.0
Trichogramma,forcipiforme,1,40.9975197,122.9955469,40.9975197,122.9955469
Trichogramma,fuentesi,16,-34.9964962,-118.7559973,47.2037987,-1.5695544
Trichogramma,funestum,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Trichogramma,funiculatum,3,-41.500083,144.4588889,-21.9182855,172.8344077
Trichogramma,fuzhouense,1,26.5450001,117.842778,26.5450001,117.842778
Trichogramma,gabrielino,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Trichogramma,galloi,9,-32.8755547,-75.0458514,2.893108,-42.4194149
Trichogramma,gicai,2,32.75175465,-16.9817465613,40.0028028,-4.0031039
Trichogramma,gordhi,2,10.2735633,-99.1332101,19.4325301,-84.0739101
Trichogramma,guariquense,1,8.0018709,-66.1109317,8.0018709,-66.1109317
Trichogramma,hebbalensis,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,hesperidis,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,higai,1,21.2160437,-157.9752029,21.2160437,-157.9752029
Trichogramma,huberi,2,15.6356088,-99.1332101,19.4325301,-89.8988086
Trichogramma,infelix,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Trichogramma,ingricum,1,59.9393657,30.3153628,59.9393657,30.3153628
Trichogramma,interius,5,19.4325301,-118.7559973,39.5158825,-99.1332101
Trichogramma,inyoense,9,36.7014631,-149.6809089,64.4459613,-66.7499999
Trichogramma,iracildae,1,-9.7081217,-36.6489726,-9.7081217,-36.6489726
Trichogramma,itsybitsi,4,35.6729639,-114.015407,43.6447642,-73.9865811
Trichogramma,ivelae,4,-36.5986095,112.0,40.9975197,144.6780052
Trichogramma,jalmirezi,1,-22.2752761,-42.4194149,-22.2752761,-42.4194149
Trichogramma,japonicum,47,-34.9493036,-157.9752029,50.0000002,150.8346571
Trichogramma,jaxarticum,1,39.3763807,59.3924609,39.3763807,59.3924609
Trichogramma,jezoense,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,julianoi,3,40.7305991,-94.6113287,50.0000002,-73.9865811
Trichogramma,kalkae,2,-13.2687203,1.0199765,8.7800265,33.9301963
Trichogramma,kankerense,1,21.663656,81.8410213,21.663656,81.8410213
Trichogramma,kashmiricum,1,34.0476564,76.7972892,34.0476564,76.7972892
Trichogramma,kaykai,2,36.5748441,-118.7559973,36.7014631,139.2394179
Trichogramma,kilinceri,1,38.9597594,34.9249653,38.9597594,34.9249653
Trichogramma,koehleri,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816
Trichogramma,kurosuae,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,lachesis,2,10.2735633,-99.1332101,19.4325301,-84.0739101
Trichogramma,lacustre,4,42.6073975,-0.540240236617,64.6863136,97.7453061
Trichogramma,lasallei,12,-32.8755547,-99.1332101,27.7567667,-49.0232347
