genus,species,num_orders,num_fam,num_spp
Trichogramma,acacioi,1,7,11
Trichogramma,acantholydae,1,1,2
Trichogramma,achaeae,2,12,32
Trichogramma,acuminatum,0,0,0
Trichogramma,acutovirilia,0,0,0
Trichogramma,adashkevitshi,0,0,0
Trichogramma,agriae,1,2,2
Trichogramma,agrotidis,1,4,5
Trichogramma,aldanense,1,1,1
Trichogramma,alloeovirilia,0,0,0
Trichogramma,alpha,1,2,2
Trichogramma,aomoriense,1,1,1
Trichogramma,arcanum,0,0,0
Trichogramma,artonae,1,1,1
Trichogramma,atopovirilia,2,7,26
Trichogramma,atropos,0,0,0
Trichogramma,aurosum,2,4,8
Trichogramma,australicum,2,13,62
Trichogramma,bactrianum,1,1,1
Trichogramma,ballmeri,1,1,5
Trichogramma,bellaunionense,1,1,2
Trichogramma,bennetti,1,4,4
Trichogramma,bertii,1,1,2
Trichogramma,bezdencovii,1,3,5
Trichogramma,bilingense,1,2,2
Trichogramma,bispinosum,0,0,0
Trichogramma,bistrae,0,0,0
Trichogramma,bourarachae,2,4,6
Trichogramma,bournieri,1,2,4
Trichogramma,brassicae,2,17,66
Trichogramma,brevicapillum,1,9,24
Trichogramma,breviciliata,1,1,1
Trichogramma,brevifringiata,1,1,1
Trichogramma,browningi,1,3,4
Trichogramma,bruni,1,5,13
Trichogramma,buesi,0,0,0
Trichogramma,buluti,1,1,1
Trichogramma,cacaeciae,4,13,58
Trichogramma,californicum,1,3,9
Trichogramma,canadense,0,0,0
Trichogramma,canariense,1,1,1
Trichogramma,carina,0,0,0
Trichogramma,carverae,1,4,7
Trichogramma,castrense,1,1,1
Trichogramma,cephalciae,2,2,5
Trichogramma,chilonis,5,29,148
Trichogramma,chilotraeae,1,7,33
Trichogramma,choui,1,1,1
Trichogramma,chusniddini,0,0,0
Trichogramma,closterae,1,7,17
Trichogramma,clotho,0,0,0
Trichogramma,colombiense,1,2,2
Trichogramma,convolvuli,1,2,2
Trichogramma,cordubense,2,4,14
Trichogramma,cultellus,1,1,1
Trichogramma,cuttackense,1,1,1
Trichogramma,danaidiphagum,1,3,4
Trichogramma,danausicida,1,2,2
Trichogramma,danubiense,1,3,3
Trichogramma,daumalae,0,0,0
Trichogramma,deion,2,12,44
Trichogramma,demoraesi,1,5,7
Trichogramma,dendrolimi,4,24,115
Trichogramma,dianae,0,0,0
Trichogramma,diazi,1,1,1
Trichogramma,dissimile,1,1,1
Trichogramma,distinctum,1,2,3
Trichogramma,drepanophorum,1,1,2
Trichogramma,elegantum,1,1,1
Trichogramma,embryophagum,2,15,77
Trichogramma,erebus,1,1,1
Trichogramma,erosicorne,1,3,5
Trichogramma,esalqueanum,1,1,2
Trichogramma,ethiopicum,3,6,7
Trichogramma,euproctidis,2,9,29
