family,genus,species,nbr_country,latitude_min,latitude_max,latitude_mean,latitude_median,min_dist_equator,max_dist_equator,latitude_range,host_fam,host_spp,mode,ref
Aphelinidae,Aphelinus,acuminatus,1,25.5379432,25.5379432,25.5379432,25.5379432,25.5379432,25.5379432,0.001,0,0,sex,1
Aphelinidae,Aphelinus,albipodus,17,-23.3165934,47.3752671,28.27240045,34.9550817,10.9094334,47.3752671,70.6918605,1,17,sex,3
Aphelinidae,Aphelinus,ancer,2,14.5203896,25.5379432,20.0291664,20.0291664,14.5203896,25.5379432,11.0175536,1,1,sex,2
Aphelinidae,Aphelinus,annulipes,10,45.0819456,59.6749712,50.22012989,49.65194855,45.0819456,59.6749712,14.5930256,1,7,sex,5
Aphelinidae,Aphelinus,argiope,9,14.5203896,59.6749712,43.0095282,49.4871968,14.5203896,59.6749712,45.1545816,1,3,sex,8
Aphelinidae,Aphelinus,asychis,51,-34.9964962,63.2467777,30.85423323,36.5748441,2.893108,63.2467777,98.2432739,2,55,asex,21
Aphelinidae,Aphelinus,atriplicis,4,41.6809707,64.6863136,50.7590599,48.33447765,41.6809707,64.6863136,23.0053429,1,2,sex,1
Aphelinidae,Aphelinus,aureus,1,36.7014631,36.7014631,36.7014631,36.7014631,36.7014631,36.7014631,0.001,1,2,sex,2
Aphelinidae,Aphelinus,automatus,3,36.7014631,40.0796319,37.9681065,37.1232245,36.7014631,40.0796319,3.3781688,1,3,sex,2
Aphelinidae,Aphelinus,babaneuri,1,41.6809707,41.6809707,41.6809707,41.6809707,41.6809707,41.6809707,0.001,0,0,sex,2
Aphelinidae,Aphelinus,basilicus,7,7.878,26.4073841,19.80391236,22.9964948,7.878,26.4073841,18.5293841,0,0,sex,2
Aphelinidae,Aphelinus,campestris,2,45.0819456,49.4871968,47.2845712,47.2845712,45.0819456,49.4871968,4.4052512,0,0,sex,3
Aphelinidae,Aphelinus,ceratovacunae,1,24,24,24,24,24,24,0.001,1,1,sex,1
Aphelinidae,Aphelinus,certus,1,45.0819456,45.0819456,45.0819456,45.0819456,45.0819456,45.0819456,0.001,0,0,sex,2
Aphelinidae,Aphelinus,chaonia,27,-31.7613364,59.6749712,39.30970163,45.5643442,18.5264843,59.6749712,91.4363076,1,17,sex,15
Aphelinidae,Aphelinus,circumscriptus,1,51.0834196,51.0834196,51.0834196,51.0834196,51.0834196,51.0834196,0.001,0,0,sex,2
Aphelinidae,Aphelinus,confusus,3,42.6384261,49.8167003,47.0654262,48.7411522,42.6384261,49.8167003,7.1782742,1,3,sex,2
Aphelinidae,Aphelinus,coracinus,1,49.4871968,49.4871968,49.4871968,49.4871968,49.4871968,49.4871968,0.001,0,0,sex,1
Aphelinidae,Aphelinus,coreae,1,37.5540282,37.5540282,37.5540282,37.5540282,37.5540282,37.5540282,0.001,1,4,sex,1
Aphelinidae,Aphelinus,curvifasciatus,1,26.5450001,26.5450001,26.5450001,26.5450001,26.5450001,26.5450001,0.001,0,0,sex,1
Aphelinidae,Aphelinus,daqingensis,1,48.0000047,48.0000047,48.0000047,48.0000047,48.0000047,48.0000047,0.001,1,1,sex,1
Aphelinidae,Aphelinus,daucicola,14,40.033265,59.6749712,46.7387507,46.0838491,40.033265,59.6749712,19.6417062,1,13,sex,7
Aphelinidae,Aphelinus,demyaati,1,26.2540493,26.2540493,26.2540493,26.2540493,26.2540493,26.2540493,0.001,1,1,sex,1
Aphelinidae,Aphelinus,desantisi,5,14.5203896,30.9293211,25.11073568,26.8105777,14.5203896,30.9293211,16.4089315,1,2,sex,4
Aphelinidae,Aphelinus,dies,1,-21.9182855,-21.9182855,-21.9182855,-21.9182855,21.9182855,21.9182855,0.001,0,0,sex,2
Aphelinidae,Aphelinus,elvestueni,1,64.574131,64.574131,64.574131,64.574131,64.574131,64.574131,0.001,0,0,sex,1
Aphelinidae,Aphelinus,engaeus,2,-28.8166235,-11.8775767,-20.3471001,-20.3471001,11.8775767,28.8166235,16.9390468,1,2,sex,3
Aphelinidae,Aphelinus,ficusae,1,-28.8166235,-28.8166235,-28.8166235,-28.8166235,28.8166235,28.8166235,0.001,0,0,sex,2
Aphelinidae,Aphelinus,flaviventris,14,27.7567667,59.6749712,45.8538532,46.29428345,27.7567667,59.6749712,31.9182045,1,4,sex,5
Aphelinidae,Aphelinus,flavus,7,-42.0350669,56.7861112,37.8075778,51.0834196,42.0350669,56.7861112,98.8211781,1,6,sex,3
Aphelinidae,Aphelinus,fulvus,5,40.3936294,54.7023545,48.47997714,49.4871968,40.3936294,54.7023545,14.3087251,1,2,sex,2
Aphelinidae,Aphelinus,fusciscapus,4,40.3936294,51.0834196,45.08494455,44.4313646,40.3936294,51.0834196,10.6897902,0,0,sex,4
Aphelinidae,Aphelinus,fuscus,2,47.286747,49.4871968,48.3869719,48.3869719,47.286747,49.4871968,2.2004498,1,1,sex,1
Aphelinidae,Aphelinus,gillettei,2,38.7251776,40.0796319,39.40240475,39.40240475,38.7251776,40.0796319,1.3544543,1,1,sex,1
Aphelinidae,Aphelinus,glycinis,1,40.9975197,40.9975197,40.9975197,40.9975197,40.9975197,40.9975197,0.001,1,2,sex,1
Aphelinidae,Aphelinus,gossypii,18,-41.500083,49.4871968,10.97259948,23.4300641,8.4127482,49.4871968,90.9872798,2,20,sex,7
Aphelinidae,Aphelinus,hongkongensis,1,22.2793278,22.2793278,22.2793278,22.2793278,22.2793278,22.2793278,0.001,0,0,sex,1
Aphelinidae,Aphelinus,hordei,6,-35.4021015,64.6863136,21.90324775,40.73235055,28.8166235,64.6863136,100.0884151,1,4,sex,2
Aphelinidae,Aphelinus,howardii,1,36.7014631,36.7014631,36.7014631,36.7014631,36.7014631,36.7014631,0.001,1,2,sex,5
Aphelinidae,Aphelinus,huberi,1,28.1082107,28.1082107,28.1082107,28.1082107,28.1082107,28.1082107,0.001,0,0,sex,1
Aphelinidae,Aphelinus,humilis,16,-34.9964962,59.6749712,33.79676305,43.660006,22.9964948,59.6749712,94.6714674,1,6,sex,2
Aphelinidae,Aphelinus,hyalopteraphidis,1,29.0000001,29.0000001,29.0000001,29.0000001,29.0000001,29.0000001,0.001,1,1,sex,2
Aphelinidae,Aphelinus,japonicus,2,14.8971921,36.5748441,25.7360181,25.7360181,14.8971921,36.5748441,21.677652,0,0,sex,3
Aphelinidae,Aphelinus,jucundus,7,21.2160437,54,41.57975476,43.9792797,21.2160437,54,32.7839563,1,9,asex,1
Aphelinidae,Aphelinus,kurdjumovi,2,41.6809707,49.4871968,45.58408375,45.58408375,41.6809707,49.4871968,7.8062261,1,2,sex,8
Aphelinidae,Aphelinus,lankaensis,2,7.878,14.5203896,11.1991948,11.1991948,7.878,14.5203896,6.6423896,0,0,sex,1
Aphelinidae,Aphelinus,lapisligni,2,43.6447642,43.9792797,43.81202195,43.81202195,43.6447642,43.9792797,0.3345155,1,4,sex,2
Aphelinidae,Aphelinus,literatus,1,-24.7761085,-24.7761085,-24.7761085,-24.7761085,24.7761085,24.7761085,0.001,1,1,sex,1
Aphelinidae,Aphelinus,longipennis,1,51.0834196,51.0834196,51.0834196,51.0834196,51.0834196,51.0834196,0.001,0,0,sex,2
Aphelinidae,Aphelinus,lucidus,2,45.0819456,49.4871968,47.2845712,47.2845712,45.0819456,49.4871968,4.4052512,1,2,sex,3
Aphelinidae,Aphelinus,lusitanicus,1,40.033265,40.033265,40.033265,40.033265,40.033265,40.033265,0.001,0,0,sex,1
Aphelinidae,Aphelinus,maculatus,3,30.0417376,45.0819456,37.23284243,36.5748441,30.0417376,45.0819456,15.040208,1,2,sex,3
Aphelinidae,Aphelinus,maidis,3,17.1750495,23.9739374,20.78834353,21.2160437,17.1750495,23.9739374,6.7988879,1,3,sex,2
Aphelinidae,Aphelinus,mali,100,-42.0350669,64.6863136,27.20999903,36.6381536,1.3397667,64.6863136,106.7213805,5,35,sex,17
Aphelinidae,Aphelinus,mariscusae,3,-21.1309331,1.4419683,-12.87130837,-18.9249603,1.4419683,21.1309331,22.5729014,1,1,sex,3
Aphelinidae,Aphelinus,marlatti,4,-18.5264843,54,30.93665898,44.1365601,18.5264843,54,72.5264843,1,2,sex,5
Aphelinidae,Aphelinus,megadontus,1,27.601029,27.601029,27.601029,27.601029,27.601029,27.601029,0.001,1,1,sex,1
Aphelinidae,Aphelinus,meghalayanus,1,25.5379432,25.5379432,25.5379432,25.5379432,25.5379432,25.5379432,0.001,0,0,sex,1
Aphelinidae,Aphelinus,meridionalis,3,33.0955793,43.7311424,39.82171593,42.6384261,33.0955793,43.7311424,10.6355631,1,4,sex,3
Aphelinidae,Aphelinus,minutus,1,-6.5247122,-6.5247122,-6.5247122,-6.5247122,6.5247122,6.5247122,0.001,0,0,sex,2
Aphelinidae,Aphelinus,nepalensis,1,28.1082107,28.1082107,28.1082107,28.1082107,28.1082107,28.1082107,0.001,0,0,sex,2
Aphelinidae,Aphelinus,niger,1,-21.9182855,-21.9182855,-21.9182855,-21.9182855,21.9182855,21.9182855,0.001,0,0,sex,1
Aphelinidae,Aphelinus,notatus,1,51.0834196,51.0834196,51.0834196,51.0834196,51.0834196,51.0834196,0.001,0,0,sex,3
Aphelinidae,Aphelinus,nox,1,-21.9182855,-21.9182855,-21.9182855,-21.9182855,21.9182855,21.9182855,0.001,0,0,sex,2
Aphelinidae,Aphelinus,odin,1,64.574131,64.574131,64.574131,64.574131,64.574131,64.574131,0.001,0,0,sex,1
Aphelinidae,Aphelinus,paluscolus,1,64.574131,64.574131,64.574131,64.574131,64.574131,64.574131,0.001,0,0,sex,1
Aphelinidae,Aphelinus,paoliellae,1,-11.8775767,-11.8775767,-11.8775767,-11.8775767,11.8775767,11.8775767,0.001,1,1,sex,2
Aphelinidae,Aphelinus,paramali,4,-11.8775767,32.9407496,19.54831235,28.56503825,11.8775767,32.9407496,44.8183263,1,3,sex,3
Aphelinidae,Aphelinus,pax,1,-21.9182855,-21.9182855,-21.9182855,-21.9182855,21.9182855,21.9182855,0.001,0,0,sex,2
Aphelinidae,Aphelinus,perpallidus,11,-28.8166235,50.0000002,31.8095524,36.7014631,27.7567667,50.0000002,78.8166237,1,7,sex,2
Aphelinidae,Aphelinus,polaszeki,1,31.9292352,31.9292352,31.9292352,31.9292352,31.9292352,31.9292352,0.001,1,1,sex,1
Aphelinidae,Aphelinus,prociphili,1,41.9216734,41.9216734,41.9216734,41.9216734,41.9216734,41.9216734,0.001,1,1,sex,1
Aphelinidae,Aphelinus,quercus,1,64.574131,64.574131,64.574131,64.574131,64.574131,64.574131,0.001,0,0,sex,1
Aphelinidae,Aphelinus,rhamni,1,39.9059631,39.9059631,39.9059631,39.9059631,39.9059631,39.9059631,0.001,1,4,sex,1
Aphelinidae,Aphelinus,rhopalosiphiphagus,1,25,25,25,25,25,25,0.001,1,1,sex,2
Aphelinidae,Aphelinus,sanborniae,4,40.2253569,50.0000002,44.70387303,44.2950675,40.2253569,50.0000002,9.7746433,1,3,sex,1
Aphelinidae,Aphelinus,semiflavus,24,-34.9964962,55.0000001,33.68500628,39.4812811,21.2160437,55.0000001,89.9964963,2,41,asex,5
Aphelinidae,Aphelinus,sharpae,2,25.5379432,26.4073841,25.97266365,25.97266365,25.5379432,26.4073841,0.8694409,0,0,sex,1
Aphelinidae,Aphelinus,siphonophorae,12,-20.4859417,55,31.44000023,37.798209,15.0000001,55,75.4859417,2,8,sex,2
Aphelinidae,Aphelinus,spiraecolae,2,23.1357694,27.7567667,25.44626805,25.44626805,23.1357694,27.7567667,4.6209973,1,3,sex,4
Aphelinidae,Aphelinus,subauriceps,1,-31.8759834,-31.8759834,-31.8759834,-31.8759834,31.8759834,31.8759834,0.001,0,0,sex,2
