ref,var,pval1T,pval2T,z
-1,nbr_country,0,0,-65.326
-1,max_dist_eq,0,0,-10.013
-1,min_dist_eq,0,0,4.222
-1,lat_mean,0,0,-4.066
-1,lat_median,0,0,-4.813
-1,lat_range,0,0,-19.575
-1,host_spp,0,0,-52.771
0,nbr_country,0,0,-65.326
0,max_dist_eq,0,0,-10.013
0,min_dist_eq,0,0,4.222
0,lat_mean,0,0,-4.066
0,lat_median,0,0,-4.813
0,lat_range,0,0,-19.575
0,host_spp,0,0,-52.771
1,nbr_country,0,0,-54.586
1,max_dist_eq,0,0,-8.313
1,min_dist_eq,0,0,4.934
1,lat_mean,1e-04,2e-04,-3.498
1,lat_median,0,0,-4.216
1,lat_range,0,0,-16.106
1,host_spp,0,0,-45.411
2,nbr_country,0,0,-43.476
2,max_dist_eq,0,0,-6.82
2,min_dist_eq,0,0,5.041
2,lat_mean,2e-04,4e-04,-3.012
2,lat_median,0,0,-3.73
2,lat_range,0,0,-12.514
2,host_spp,0,0,-39.427
3,nbr_country,0,0,-36.412
3,max_dist_eq,0,0,-5.943
3,min_dist_eq,0,0,4.617
3,lat_mean,6e-04,0.0012,-2.821
3,lat_median,1e-04,2e-04,-3.415
3,lat_range,0,0,-10.813
3,host_spp,0,0,-35.588
4,nbr_country,0,0,-30.852
4,max_dist_eq,0,0,-5.169
4,min_dist_eq,2e-04,4e-04,4.14
4,lat_mean,0.0268,0.0536,-1.716
4,lat_median,0.0084,0.0168,-2.245
4,lat_range,0,0,-9.336
4,host_spp,0,0,-32.106
5,nbr_country,0,0,-29.009
5,max_dist_eq,0,0,-4.909
5,min_dist_eq,5e-04,0.001,3.492
5,lat_mean,0.0166,0.0332,-1.824
5,lat_median,0.0056,0.0112,-2.404
5,lat_range,0,0,-7.784
5,host_spp,0,0,-31.477
6,nbr_country,0,0,-25.052
6,max_dist_eq,0,0,-4.947
6,min_dist_eq,0.0014,0.0028,3.245
6,lat_mean,0.0339,0.0678,-1.766
6,lat_median,0.0084,0.0168,-2.414
6,lat_range,0,0,-7.227
6,host_spp,0,0,-29.017
7,nbr_country,0,0,-20.93
7,max_dist_eq,0,0,-4.255
7,min_dist_eq,0.0033,0.0066,2.89
7,lat_mean,0.0973,0.1946,-1.106
7,lat_median,0.0416,0.0832,-1.704
7,lat_range,0,0,-6.433
7,host_spp,0,0,-25.055
8,nbr_country,0,0,-16.041
8,max_dist_eq,1e-04,2e-04,-3.439
8,min_dist_eq,0.0053,0.0106,2.45
8,lat_mean,0.2003,0.4006,-0.675
8,lat_median,0.1332,0.2664,-1.132
8,lat_range,3e-04,6e-04,-5.263
8,host_spp,0,0,-21.696
9,nbr_country,1e-04,2e-04,-16.733
9,max_dist_eq,4e-04,8e-04,-2.974
9,min_dist_eq,0.0025,0.005,3.144
9,lat_mean,0.5183,0.9634,0.415
9,lat_median,0.3545,0.709,-0.128
9,lat_range,1e-04,2e-04,-5.556
9,host_spp,0,0,-23.301
10,nbr_country,2e-04,4e-04,-15.332
10,max_dist_eq,6e-04,0.0012,-2.799
10,min_dist_eq,0.005,0.01,3.125
10,lat_mean,0.513,0.974,0.585
10,lat_median,0.6162,0.7676,0.056
10,lat_range,4e-04,8e-04,-5.487
10,host_spp,0,0,-22.676
11,nbr_country,7e-04,0.0014,-12.56
11,max_dist_eq,0.0029,0.0058,-2.632
11,min_dist_eq,0.0347,0.0694,2.54
11,lat_mean,0.692,0.616,0.188
11,lat_median,0.2824,0.5648,-0.202
11,lat_range,0.0076,0.0152,-4.505
11,host_spp,1e-04,2e-04,-19.667
12,nbr_country,0.0018,0.0036,-11.489
12,max_dist_eq,0.0085,0.017,-2.025
12,min_dist_eq,0.0238,0.0476,2.635
12,lat_mean,0.6099,0.7802,0.46
12,lat_median,0.6131,0.7738,0.13
